account_id,customer_id,primary_holder_customer_id,joint_holder_1_customer_id,joint_holder_2_customer_id,cif_number,account_number,iban,bban,sort_code,routing_number,swift_bic,ledger_account_number,product_code,product_name,product_family,account_type,account_subtype,account_currency,account_open_date,account_activation_date,account_close_date,account_status,status_reason,closure_reason,dormant_flag,freeze_flag,lien_flag,overdraft_allowed_flag,overdraft_limit,available_balance,current_balance,ledger_balance,cleared_balance,hold_balance,pending_debit_amount,pending_credit_amount,accrued_interest,interest_rate,interest_rate_type,interest_calculation_method,interest_payment_frequency,minimum_balance_requirement,average_monthly_balance,last_statement_date,next_statement_date,statement_cycle,branch_code,branch_name,home_country,tax_reporting_country,channel_opened,source_system,rm_id,rm_name,account_purpose,salary_account_flag,payroll_customer_flag,senior_citizen_flag,student_account_flag,business_account_flag,trust_account_flag,escrow_account_flag,collateral_account_flag,kyc_status,aml_risk_rating,sanctions_screening_status,fatca_flag,crs_flag,account_nickname,card_linked_flag,debit_card_count,credit_card_linked_flag,cheque_book_flag,cheque_book_issued_count,passbook_flag,e_statement_flag,sms_alert_flag,email_alert_flag,mobile_banking_flag,internet_banking_flag,sweep_in_flag,sweep_out_flag,sweep_target_account_id,linked_loan_account_id,linked_fd_account_id,lien_amount,lien_reason,nominee_name,nominee_relationship,nominee_date_of_birth,beneficiary_count,last_debit_txn_date,last_credit_txn_date,last_txn_date,month_to_date_debit_count,month_to_date_credit_count,month_to_date_debit_amount,month_to_date_credit_amount,year_to_date_fees,last_fee_applied_date,pricing_plan_code,pricing_plan_name,record_created_ts,record_updated_ts,batch_id,load_date,source_file_name,record_hash,row_quality_status,duplicate_suspect_flag,migrated_from_system,migration_date
ACC200011,CUST100011,CUST100011,,,CIF500011,353392014891,IN101BANK353392014891,353392014891,22-91-22,576396216,EXBKINBB001,GL100010,SAV001,Savings Plus,Deposits,SAVINGS,RETAIL_SAVINGS,INR,2014-02-28,2014-03-01,2016-11-24,CLOSED,PERIODIC_REVIEW,CUSTOMER_REQUEST,N,N,N,N,0,115232.33,115733.83,115814.08,115232.33,501.5,0.0,80.25,289.33,2.75,FIXED,DAILY_PRODUCT,QUARTERLY,1000,113441.31,2026-03-04,2026-04-03,MONTHLY,001,Mumbai Main,India,India,VIDEO_KYC,DEPOSIT_SYSTEM,RM1001,Anita Rao,Personal banking,N,N,N,N,N,N,N,N,REFRESH_DUE,MEDIUM,CLEAR,N,N,Savings Rahul,N,1,Y,Y,1,Y,Y,Y,Y,Y,Y,N,N,,,FD70010,0,,Vikram Joshi,SISTER,1985-04-19,2,2026-03-13,2026-03-22,2026-03-22,6,3,13382.24,86589.04,348.06,2026-03-12,PP200,Gold,2024-05-20 10:00:00,2026-02-28 16:30:00,BATCH_20260324_001,2026-03-24,account_raw_20260324_part01.csv,d4725f4ceecfd3d8f944feb348952d95461503a2,VALID,N,LEGACY_CBS,2023-08-15
ACC200012,CUST100012,CUST100012,,,CIF500012,770354064649,IN102BANK770354064649,770354064649,40-73-84,253671484,EXBKINBB002,GL100011,CUR001,Current Classic,Deposits,CURRENT,RETAIL_CURRENT,INR,2015-03-29,2015-03-30,,FROZEN,PERIODIC_REVIEW,,N,Y,Y,Y,50000,135981.55,136854.2,136894.3,136101.95,752.25,120.4,160.5,342.14,3.25,FLOATING,AVERAGE_BALANCE,HALF_YEARLY,5000,141769.06,2026-03-03,2026-04-02,QUARTERLY,002,Bengaluru Central,India,India,RM_DESK,DEPOSIT_SYSTEM,RM1002,Vivek Menon,Salary credits,N,N,N,N,N,N,N,N,PENDING_REVIEW,HIGH,REVIEW_REQUIRED,N,N,Current Isha,Y,1,N,Y,1,N,Y,Y,Y,Y,Y,N,N,,,,2500,CARD_DISPUTE_HOLD,Priya Menon,FATHER,1986-05-20,3,2026-03-12,2026-03-21,2026-03-21,7,4,7682.06,152332.99,1236.42,2026-03-11,PP300,Platinum,2024-05-28 10:00:00,2026-02-27 16:30:00,BATCH_20260324_001,2026-03-24,account_raw_20260324_part01.csv,db19bdec3a7bfd17049800735982a29d1ced2d78,WARN,N,FLEXCUBE,2023-09-16
ACC200013,CUST100013,CUST100013,CUST100014,,CIF500013,857736637113,IN103BANK857736637113,857736637113,35-59-71,214518079,EXBKINBB003,GL100012,SAL001,Salary Advantage,Deposits,SAVINGS,SALARY,INR,2016-04-30,2016-05-01,,ACTIVE,PERIODIC_REVIEW,,N,N,N,N,0,118009.69,118250.49,118009.69,118250.49,0.0,240.8,0.0,295.63,3.75,FIXED,DAILY_PRODUCT,MONTHLY,1000,130500.2,2026-03-02,2026-04-01,MONTHLY,003,Delhi Connaught,India,India,BRANCH,DEPOSIT_SYSTEM,RM1003,Ritika Shah,Daily expenses,Y,Y,N,N,N,N,N,N,COMPLETED,LOW,CLEAR,N,Y,Salary Karan,Y,1,N,Y,1,Y,N,Y,N,N,N,N,N,,,,0,,Karan Verma,SPOUSE,1987-06-21,1,2026-03-23,2026-03-20,2026-03-23,8,1,21966.9,29002.98,969.14,2026-03-10,PP100,Standard,2024-06-05 10:00:00,2026-03-10 16:30:00,BATCH_20260324_001,2026-03-24,account_raw_20260324_part01.csv,90a392f8c3ac3a12484140175c89571508f3e5c6,VALID,N,LEGACY_CBS,2023-04-17
ACC200014,CUST100014,CUST100014,,,CIF500014,769631000910,IN104BANK769631000910,769631000910,46-39-87,961067882,EXBKINBB004,GL100013,NRI001,NRI Flexi,Deposits,SAVINGS,NRE,INR,2017-05-31,2017-06-01,,ACTIVE,SYSTEM_HOLD,,N,N,N,N,0,140613.91,141225.86,140944.91,140975.11,250.75,361.2,80.25,353.06,4.25,FLOATING,AVERAGE_BALANCE,QUARTERLY,1000,155327.5,2026-03-01,2026-03-31,QUARTERLY,004,Hyderabad Jubilee,India,India,MOBILE_APP,CORE_BANKING,RM1004,Sandeep Iyer,Emergency fund,N,N,N,N,N,N,N,N,COMPLETED,LOW,CLEAR,N,Y,NRI Neha,Y,1,N,Y,1,Y,Y,Y,Y,Y,Y,N,N,,,,0,,Vikram Gupta,SPOUSE,1988-07-22,2,2026-03-22,2026-03-19,2026-03-22,9,2,16964.33,40857.62,787.53,2026-03-09,PP200,Gold,2024-06-13 10:00:00,2026-03-09 16:30:00,BATCH_20260324_001,2026-03-24,account_raw_20260324_part01.csv,477bf65770145d85ff17029c03e5bd804c892a68,VALID,N,FINACLE,2023-05-18
ACC200015,CUST100015,CUST100015,,,CIF500015,199348657231,IN105BANK199348657231,199348657231,63-32-35,241905500,EXBKINBB005,GL100014,FDLNK,Linked Deposit,Deposits,TERM_DEPOSIT,FD_LINKED,INR,2018-07-02,2018-07-03,,ACTIVE,SYSTEM_HOLD,,N,N,N,N,0,161565.04,162548.14,162227.04,162046.64,501.5,481.6,160.5,406.37,4.75,FIXED,DAILY_PRODUCT,HALF_YEARLY,5000,154098.19,2026-02-28,2026-03-30,MONTHLY,005,Chennai T Nagar,India,India,VIDEO_KYC,DEPOSIT_SYSTEM,RM1005,Lakshmi Nair,Family savings,N,N,N,Y,N,N,N,Y,REFRESH_DUE,MEDIUM,CLEAR,N,Y,Linked Dev,Y,2,Y,N,0,N,Y,Y,Y,Y,Y,N,N,,,,0,,Rahul Gupta,BROTHER,1989-08-23,3,2026-03-21,2026-03-18,2026-03-21,3,3,12227.08,29779.49,1213.15,2026-03-08,PP300,Platinum,2024-06-21 10:00:00,2026-03-08 16:30:00,BATCH_20260324_001,2026-03-24,account_raw_20260324_part01.csv,bdf3770dac51fbb5f43381eca8fb1750ca0c8c44,VALID,N,FINACLE,2023-06-19
ACC200016,CUST100016,CUST100016,,,CIF500016,841844861994,IN106BANK841844861994,841844861994,81-56-21,948988297,EXBKINBB001,GL100015,SAV001,Savings Plus,Deposits,SAVINGS,RETAIL_SAVINGS,GBP,2019-08-02,2019-08-03,,DORMANT,,,Y,N,N,N,0,146647.46,147399.71,147399.71,146647.46,752.25,0.0,0.0,368.5,2.75,FLOATING,AVERAGE_BALANCE,MONTHLY,1000,168062.34,2026-02-27,2026-03-29,QUARTERLY,001,Mumbai Main,India,India,RM_DESK,CORE_BANKING,RM1001,Anita Rao,Personal banking,N,N,N,N,N,N,N,N,PENDING_REVIEW,HIGH,REVIEW_REQUIRED,N,Y,Savings Pooja,Y,1,Y,Y,1,Y,Y,Y,Y,Y,Y,Y,Y,ACC200017,,FD70015,0,,Karan Chopra,SPOUSE,1990-09-24,1,2026-03-20,2026-03-17,2026-03-20,4,4,12442.81,86006.76,831.5,2026-03-07,PP100,Standard,2024-06-29 10:00:00,2026-03-07 16:30:00,BATCH_20260324_001,2026-03-24,account_raw_20260324_part01.csv,55b3c0c42e12353d39a0d5dc030f6a7983cfb07c,VALID,N,FINACLE,2023-07-20
ACC200017,CUST100017,CUST100017,,,CIF500017,343138451678,IN107BANK343138451678,343138451678,69-99-48,797115550,EXBKINBB002,GL100016,CUR001,Current Classic,Deposits,CURRENT,RETAIL_CURRENT,INR,2020-09-03,2020-09-04,2023-07-30,CLOSED,,CUSTOMER_REQUEST,N,N,N,Y,50000,166117.86,166238.26,166198.11,166238.26,0.0,120.4,80.25,415.6,3.25,FIXED,DAILY_PRODUCT,QUARTERLY,5000,172991.05,2026-02-26,2026-03-28,MONTHLY,002,Bengaluru Central,India,India,BRANCH,CORE_BANKING,RM1002,Vivek Menon,Salary credits,N,N,N,N,N,N,N,N,COMPLETED,LOW,CLEAR,N,N,Current Nikhil,Y,1,N,Y,1,N,Y,Y,Y,Y,Y,N,N,,LN50016,,0,,Asha Mehta,BROTHER,1991-10-25,2,2026-03-19,2026-03-16,2026-03-19,5,1,11848.53,28467.02,967.45,2026-03-06,PP200,Gold,2024-07-07 10:00:00,2026-03-06 16:30:00,BATCH_20260324_001,2026-03-24,account_raw_20260324_part01.csv,3fa5ee1a5098271a8bf9ecb07ed7dd8f6acdac23,VALID,N,FINACLE,2023-08-21
ACC200018,CUST100018,CUST100018,,,CIF500018,746045230097,IN108BANK746045230097,746045230097,63-93-22,995171130,EXBKINBB003,GL100017,SAL001,Salary Advantage,Deposits,SAVINGS,SALARY,USD,2021-10-05,2021-10-06,,FROZEN,,,N,Y,N,N,0,186719.8,187211.35,187131.05,186960.6,250.75,240.8,160.5,468.03,3.75,FLOATING,AVERAGE_BALANCE,HALF_YEARLY,1000,167808.18,2026-02-25,2026-03-27,QUARTERLY,003,Delhi Connaught,India,India,MOBILE_APP,DEPOSIT_SYSTEM,RM1003,Ritika Shah,Daily expenses,Y,Y,N,N,N,N,N,N,COMPLETED,LOW,CLEAR,N,Y,Salary Asha,N,1,Y,Y,1,Y,Y,Y,Y,Y,N,N,N,,,,0,,Meera Chopra,SPOUSE,1992-11-26,3,2026-03-18,2026-03-15,2026-03-18,6,2,24816.65,35713.45,1141.87,2026-03-05,PP300,Platinum,2024-07-15 10:00:00,2026-03-05 16:30:00,BATCH_20260324_001,2026-03-24,account_raw_20260324_part01.csv,137ff46d202280f5a10950cd109fb214ff430415,WARN,N,FINACLE,2023-09-22
ACC200019,CUST100019,CUST100019,CUST100020,,CIF500019,165965001880,IN109BANK165965001880,165965001880,25-68-21,811642514,EXBKINBB004,GL100018,NRI001,NRI Flexi,Deposits,SAVINGS,NRE,EUR,2022-11-05,2022-11-06,,ACTIVE,PERIODIC_REVIEW,,N,N,N,N,0,169128.0,169990.7,169629.5,169489.2,501.5,361.2,0.0,424.98,4.25,FIXED,DAILY_PRODUCT,MONTHLY,1000,154171.8,2026-02-24,2026-03-26,MONTHLY,004,Hyderabad Jubilee,India,India,VIDEO_KYC,CORE_BANKING,RM1004,Sandeep Iyer,Emergency fund,N,N,N,N,N,N,N,N,REFRESH_DUE,MEDIUM,CLEAR,N,N,NRI Sanjay,Y,1,Y,Y,1,Y,N,Y,Y,Y,Y,N,N,,,,0,,Asha Kapoor,SISTER,1993-12-27,1,2026-03-17,2026-03-23,2026-03-23,7,3,11014.06,106318.02,511.42,2026-03-04,PP100,Standard,2024-07-23 10:00:00,2026-03-04 16:30:00,BATCH_20260324_001,2026-03-24,account_raw_20260324_part01.csv,0211a562670a1b0d19fee9b14dd7ac8422450578,VALID,N,LEGACY_CBS,2023-04-23
ACC200020,CUST100020,CUST100020,,,CIF500020,102559721644,IN110BANK102559721644,102559721644,26-79-42,957397689,EXBKINBB005,GL100019,FDLNK,Linked Deposit,Deposits,TERM_DEPOSIT,FD_LINKED,GBP,2023-12-07,2023-12-08,,ACTIVE,PERIODIC_REVIEW,,N,N,N,N,0,188652.52,189886.37,189485.02,189134.12,752.25,481.6,80.25,474.72,4.75,FLOATING,AVERAGE_BALANCE,QUARTERLY,5000,217459.47,2026-02-23,2026-03-25,QUARTERLY,005,Chennai T Nagar,India,India,RM_DESK,CORE_BANKING,RM1005,Lakshmi Nair,Family savings,N,N,N,Y,N,N,N,N,PENDING_REVIEW,HIGH,REVIEW_REQUIRED,N,Y,Linked Kavya,Y,1,Y,N,0,N,Y,Y,Y,Y,Y,N,N,,,,0,,Rahul Sharma,FATHER,1994-01-01,2,2026-03-16,2026-03-22,2026-03-22,8,4,13911.85,37746.2,613.06,2026-03-03,PP200,Gold,2024-07-31 10:00:00,2026-03-03 16:30:00,BATCH_20260324_001,2026-03-24,account_raw_20260324_part01.csv,491837492b5d374382e21ceb10c97ea00d4f3caa,VALID,N,LEGACY_CBS,2023-05-24
